Reporting starts,Reporting ends,Ad Set Name,Audience segments,Ad set delivery,Amount spent (AUD),Website purchases,Cost per purchase (AUD),Purchase ROAS (return on ad spend),Purchases conversion value,Website purchases conversion value,Ad set budget,Ad set budget type,Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,CTR (all),Link clicks,CPC (all) (AUD),Attribution setting,Results,Result indicator,Cost per results,Meta purchases,ThruPlays,3-second video plays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,profile_visit_view,Unique link clicks,CTR (link click-through rate),Landing page views,Adds to cart,Website adds to cart,Adds of payment info,Website adds of payment info,Checkouts Initiated,Website checkouts initiated,Website purchase ROAS (return on ad spend),Views,3-second video plays rate per impressions,Cost per ThruPlay (AUD),Cost per 3-second video play (AUD),Unique outbound clicks,Outbound clicks,Unique CTR (link click-through rate),Outbound CTR (click-through rate),Unique outbound CTR (click-through rate),Cost per unique outbound click (AUD),Cost per unique link click (AUD),Cost per unique click (all) (AUD),Adds of payment info conversion value,In-app adds of payment info conversion value,Website adds of payment info conversion value,Offline adds of payment info conversion value,Adds to cart conversion value,In-app adds to cart conversion value,Website adds to cart conversion value,Offline adds to cart conversion value,Cost per add of payment info (AUD),Cost per add to cart (AUD),Checkouts initiated conversion value,In-app checkouts initiated conversion value,Website checkouts initiated conversion value,Offline checkouts initiated conversion value,Cost per checkout initiated (AUD),Content views,In-app content views,Website content views,Offline content views,Meta content views,Content views conversion value,In-app content views conversion value,Website content views conversion value,Offline content views conversion value,Cost per content view (AUD),Cost per landing page view (AUD),Orders created,Date created,Date last edited,custom_audiences,Optimization events,Optimization Event Indicator,Optimization event conversion window
1/05/2022,1/06/2025,,0,0,41548.83,,,,,,0,0,5398121,7.696906,1385452,3.896289,1.940823,,0.396579,Multiple attribution settings,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,1472139,,,,,,3.972711,,,,,0.628556,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
1/06/2025,1/06/2025,Rory: Canberra Sales,prospecting,active,0.96,,,,,,Using campaign budget,0,65,14.769231,62,1.048387,0,,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,24,,,,,,0:00:00,,,,,,,,,,,,,0,36.923077,,0.04,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/05/2025,28/05/2025,,,,
1/06/2025,1/06/2025,Rory: Canberra Sales,existing,active,0.02,,,,,,Using campaign budget,0,3,6.666667,3,1,0,,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/05/2025,28/05/2025,,,,
1/06/2025,1/06/2025,MANDURAH: Rory Lowe Traffic,unknown,active,0.05,,,,,,5,Daily,6,8.333333,5,1.2,0,,0,7-day click or 1-day view,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/05/2025,22/05/2025,,,,
1/06/2025,1/06/2025,NEWCASTLE: Rory Lowe Traffic,unknown,active,0.02,,,,,,5,Daily,3,6.666667,3,1,0,,0,7-day click or 1-day view,,,,,,2,,,,,,0:00:00,,,,,,,,,,,,,0,66.666667,,0.01,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/05/2025,22/05/2025,,,,
1/06/2025,1/06/2025,PERTH: Rory Lowe Traffic,unknown,active,0.02,,,,,,5,Daily,3,6.666667,3,1,0,1,0,7-day click or 1-day view,1,actions:landing_page_view,0.02,,,1,,,,,,0:00:00,,,,33.333333,1,,,,,,,,0,33.333333,,0.02,,,0,,,,,0,,,,,,,,,,,,,,,,1,,1,,,,,,,0.02,0.02,,5/05/2025,22/05/2025,,1,actions:landing_page_view,1-day click
1/06/2025,1/06/2025,ALL SHOWS Flexible Creative TRAFFIC,unknown,active,0.83,,,,,,22,Daily,70,11.857143,69,1.014493,0,1,0,7-day click or 1-day view,,,,,,15,,,,,,0:00:00,,,,1.428571,,,,,,,,,0,21.428571,,0.055333,,,0,,,,,0,,,,,,,,,,,,,,,,2,,2,,,,,,,0.415,,,14/02/2025,22/05/2025,,,,
31/05/2025,31/05/2025,Rory: Canberra Sales,prospecting,active,72.49278,1,72.49278,0.991823,71.9,71.9,Using campaign budget,0,4473,16.206747,3580,1.249441,0,94,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,72.49277961,,,1350,,,,,,0:00:00,,,,2.101498,78,6,6,,,6,6,0.991823,0,30.181087,,0.053698,,,0,,,,,0,,,,,387.2,,387.2,,,12.08213,387.2,,387.2,,12.08213,103,,103,,,,,,,0.703813,0.929395,,28/05/2025,28/05/2025,,1,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
31/05/2025,31/05/2025,Rory: Canberra Sales,existing,active,6.838563,,,,,,Using campaign budget,0,222,30.804336,77,2.883117,0,10,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,43,,,,,,0:00:00,,,,4.504505,9,,,,,,,,0,19.369369,,0.159036,,,0,,,,,0,,,,,,,,,,,,,,,,9,,9,,,,,,,0.75984,0.75984,,28/05/2025,28/05/2025,,,,
31/05/2025,31/05/2025,MANDURAH: Rory Lowe Traffic,unknown,active,3.83,,,,,,5,Daily,645,5.937985,581,1.110155,0,54,0,7-day click or 1-day view,36,actions:landing_page_view,0.10638889,,,227,,,,,,0:00:00,,,,8.372093,36,,,,,,,,0,35.193798,,0.016872,,,0,,,,,0,,,,,,,,,,,,,,,,36,,36,,,,,,,0.106389,0.106389,,5/05/2025,22/05/2025,,36,actions:landing_page_view,1-day click
31/05/2025,31/05/2025,NEWCASTLE: Rory Lowe Traffic,unknown,active,3.88,,,,,,5,Daily,621,6.247987,592,1.048986,0,53,0,7-day click or 1-day view,43,actions:landing_page_view,0.09023256,,,218,,,,,,0:00:00,,,,8.534622,43,,,,,,,,0,35.10467,,0.017798,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.090233,,5/05/2025,22/05/2025,,43,actions:landing_page_view,1-day click
31/05/2025,31/05/2025,PERTH: Rory Lowe Traffic,unknown,active,2.53,,,,,,5,Daily,575,4.4,512,1.123047,0,78,0,7-day click or 1-day view,65,actions:landing_page_view,0.03892308,,,206,,,,,,0:00:00,,,,13.565217,65,,,,,,,,0,35.826087,,0.012282,,,0,,,,,0,,,,,,,,,,,,,,,,66,,66,,,,,,,0.038333,0.038923,,5/05/2025,22/05/2025,,65,actions:landing_page_view,1-day click
