"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-31,,,,,N/A,0,41542.85,,,,,,0,0,5397638,7.696487,1384227,3.899388,1.940534,,0.396617,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,1471572,,,,,,3.973915,,,,,0.628599,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Multiple
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network","Native, banner & interstitial",In-app,"Android Smartphone",inactive,1.16,,,,,,"Using ad set budget",0,343,3.381924,256,1.339844,2.040816,7,0.165714,"7-day click or 1-day view",,,,,8,12,10,12,8,7,7,5,17,,7,2.040816,,,,,,,,,0,3.498542,0.145,0.096667,7,7,2.734375,2.040816,2.734375,0.165714,0.165714,0.165714,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network","Native, banner & interstitial",In-app,"Android Tablet",inactive,0.01,,,,,,"Using ad set budget",0,18,0.555556,0,0,0,,0,"7-day click or 1-day view",,,,,1,1,1,1,1,1,1,6,1,,,,,,,,,,,,0,5.555556,0.01,0.01,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network","Native, banner & interstitial",In-app,iPad,inactive,0.05,,,,,,"Using ad set budget",0,25,2,0,0,0,,0,"7-day click or 1-day view",,,,,2,3,5,3,2,2,2,3,5,,,,,,,,,,,,0,12,0.025,0.016667,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network","Native, banner & interstitial",In-app,iPhone,inactive,0.33,,,,,,"Using ad set budget",0,131,2.519084,128,1.023438,1.526718,2,0.165,"7-day click or 1-day view",,,,,30,45,38,33,32,30,31,6,56,,,1.526718,,,,,,,,,0,34.351145,0.011,0.007333,2,2,0,1.526718,1.5625,0.165,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network","Native, banner & interstitial",In-app,Other,inactive,0.01,,,,,,"Using ad set budget",0,3,3.333333,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network","Rewarded video",In-app,"Android Smartphone",inactive,0.43,,,,,,"Using ad set budget",0,39,11.025641,0,0,2.564103,1,0.43,"7-day click or 1-day view",,,,,32,34,32,34,32,30,30,12,35,,,2.564103,,,,,,,,,0,87.179487,0.013438,0.012647,1,1,0,2.564103,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network","Rewarded video",In-app,"Android Tablet",inactive,0.11,,,,,,"Using ad set budget",0,20,5.5,0,0,10,2,0.055,"7-day click or 1-day view",,,,,17,19,19,19,16,14,14,15,19,,,10,,,,,,,,,0,95,0.006471,0.005789,2,2,0,10,,0.055,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network","Rewarded video",In-app,iPad,inactive,0.03,,,,,,"Using ad set budget",0,1,30,0,0,0,,0,"7-day click or 1-day view",,,,,1,1,1,1,1,1,1,27,1,,,,,,,,,,,,0,100,0.03,0.03,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network","Rewarded video",In-app,iPhone,inactive,0.77,,,,,,"Using ad set budget",0,11,70,0,0,9.090909,1,0.77,"7-day click or 1-day view",,,,,9,11,10,9,9,8,8,23,11,,,9.090909,,,,,,,,,0,100,0.085556,0.07,1,1,0,9.090909,,0.77,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows",Facebook,"Business Explore",In-app,iPhone,inactive,0,,,,,,"Using ad set budget",0,3,0,0,0,0,,0,"7-day click or 1-day view",,,,,,1,1,1,,,,4,1,,,,,,,,,,,,0,33.333333,,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows",Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,0.09,,,,,,"Using ad set budget",0,10,9,0,0,30,2,0.03,"7-day click or 1-day view",,,,,,1,,,,,,2,3,,,20,,,,,,,,,0,10,,0.09,2,2,0,20,,0.045,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows",Facebook,"Facebook profile feed",In-app,iPad,inactive,0.02,,,,,,"Using ad set budget",0,7,2.857143,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows",Facebook,"Facebook profile feed",In-app,iPhone,inactive,0.2,,,,,,"Using ad set budget",0,40,5,40,1,5,2,0.1,"7-day click or 1-day view",,,,,,3,,,,,,2,9,,2,5,,,,,,,,,0,7.5,,0.066667,2,2,5,5,5,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows",Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,3.05,,,,,,"Using ad set budget",0,1816,1.679515,640,2.8375,1.211454,12,0.138636,"7-day click or 1-day view",,,,,6,36,123,20,8,3,3,1,394,,,0.660793,,,,,,,,,0,1.982379,0.508333,0.084722,12,12,0,0.660793,1.875,0.254167,,0.138636,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
