"Reporting starts","Reporting ends","Ad Set Name","Time of day (ad account time zone)","Ad set delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",custom_audiences,"Optimization events","Optimization Event Indicator","Optimization event conversion window"
2022-05-01,2025-06-01,,,0,41547.9,,,,,,0,0,5398091,7.696777,1385455,3.896259,1.940779,,0.396582,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,1472098,,,,,,3.972702,,,,,0.628561,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
2022-05-01,2025-06-01,"ALL SHOWS Flexible Creative TRAFFIC","00:00:00 - 00:59:59",active,90.437396,,,,,,22,Daily,7942,11.387232,0,0,5.149836,284,0.221118,"7-day click or 1-day view",125,actions:landing_page_view,0.72349917,,,1167,,,,,,00:00:00,,,,3.575925,125,,,,1,,,,0,14.694032,,0.077496,,284,0,3.575925,,,,0,,,,,,,,,,,,,,,,,,5,,,,,,,,0.723499,,2025-02-14,2025-05-22,,125,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"traffic LPviews ALL SHOWS - Photos & Slideshows","00:00:00 - 00:59:59",not_delivering,0.1,,,,,,"Using campaign budget",0,16,6.25,0,0,6.25,1,0.1,"7-day click or 1-day view",1,actions:landing_page_view,0.1,,,2,,,,,,00:00:00,,,,6.25,1,,,,,,,,0,12.5,,0.05,,1,0,6.25,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,2023-09-25,2024-06-21,,1,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Post: ""The best comedians, the best shows, the best fun,...""","00:00:00 - 00:59:59",not_delivering,0.02,,,,,,"Using campaign budget",0,1,20,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-31,2022-06-01,,,,
2022-05-01,2025-06-01,"Magic Mic Comedy","00:00:00 - 00:59:59",inactive,0.43,,,,,,"Using campaign budget",0,66,6.515152,0,0,1.515152,,0.43,"7-day click or 1-day view",,,,,,9,,,,,,00:00:00,,,,,,,,,,,,,0,13.636364,,0.047778,,,0,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2022-05-18,2023-03-09,,,,
2022-05-01,2025-06-01,"MELB: ALL SHOWS Flexible Creative","00:00:00 - 00:59:59",not_delivering,21.21,1,,,,42,150,Daily,1365,15.538462,0,0,2.271062,18,0.684194,"1-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,21.21,,,182,,,,,,00:00:00,,,,1.318681,14,,,,2,,2,1.980198,0,13.333333,,0.116538,,18,0,1.318681,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,1.515,,2025-04-03,2025-04-13,,1,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 1-day click"
2022-05-01,2025-06-01,"Video Ad - Carousel Launch","00:00:00 - 00:59:59",not_delivering,0.369926,,,,,,"Using campaign budget",0,20,18.496301,0,0,0,,0,"1-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-25,2023-09-25,,,,
2022-05-01,2025-06-01,"Magic Mic Comedy","00:00:00 - 00:59:59",not_delivering,16.800318,,,,,,"Using campaign budget",0,11690,1.437153,0,0,0.05988,3,2.400045,"7-day click or 1-day view",,,,,,447,,,,,,00:00:00,,,,0.025663,,,,,,,,,0,3.823781,,0.037585,,3,0,0.025663,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2022-06-02,,,,
2022-05-01,2025-06-01,"Harrys Comedy","00:00:00 - 00:59:59",inactive,0.3,,,,,,"Using campaign budget",0,31,9.677419,0,0,3.225806,1,0.3,"7-day click or 1-day view",,,,,,3,,,,,,00:00:00,,,,3.225806,,,,,,,,,0,9.677419,,0.1,,1,0,3.225806,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-18,2023-03-09,,,,
2022-05-01,2025-06-01,"MELB: Flexible Creative","00:00:00 - 00:59:59",completed,25.76,,,,,,300,Daily,1632,15.784314,0,0,3.186275,19,0.495385,"1-day click, 1-day view, or 1-day engaged-view",,,,,,363,,,,,,00:00:00,,,,1.164216,11,,,,,,,,0,22.242647,,0.070964,,19,0,1.164216,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.341818,,2025-04-10,2025-04-16,,,,
2022-05-01,2025-06-01,"Oct23 Dynamic Creative","00:00:00 - 00:59:59",not_delivering,233.12,4,,,,206.18,10,Daily,37006,6.299519,0,0,3.777766,1274,0.166753,"7-day click or 1-day view",668,actions:landing_page_view,0.34898204,,,3622,,,,,,00:00:00,,,,3.442685,668,,2,,2,,4,0.884437,0,9.787602,,0.064362,,1274,0,3.442685,,,,0,,,,,50,,50,,,,98.18,,98.18,,,,,,,,,,,,,0.348982,,2023-09-29,2024-06-21,,668,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Harrys Comedy","00:00:00 - 00:59:59",not_delivering,0.18,,,,,,"Using campaign budget",0,169,1.065089,0,0,0,,0,"7-day click or 1-day view",,,,,,6,,,,,,00:00:00,,,,,,,,,,,,,0,3.550296,,0.03,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-24,,,,
2022-05-01,2025-06-01,"iD Comedy Club","00:00:00 - 00:59:59",inactive,31.950916,4,,,,116.18,"Using campaign budget",0,2950,10.830819,0,0,1.220339,21,0.887525,"1-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,7.98772905,,,330,,,,,,00:00:00,,,,0.711864,10,,,,,,3,3.636202,0,11.186441,,0.096821,,21,0,0.711864,,,,0,,,,,,,,,,,177.44,,177.44,,,,,30,,,,,,,,3.195092,,2022-05-18,2023-05-24,,4,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 1-day click"
2022-05-01,2025-06-01,"Rory: Canberra Conversions | 4 weeks out 1 week $200 Assess weekly","00:00:00 - 00:59:59",inactive,3.670294,,,,,,250,Lifetime,303,12.11318,0,0,2.310231,3,0.524328,Incremental,,,,,,,,,,,,00:00:00,,,,0.990099,3,,,,,,,,0,,,,,3,0,0.990099,,,,0,,,,,,,,,,,,,,,,,,3,,,,,,,,1.223431,,2025-05-06,2025-05-21,,,,
2022-05-01,2025-06-01,"ALL SHOWS Single Dynamic Content","00:00:00 - 00:59:59",not_delivering,146.599856,8,,,,267.09,25,Daily,19536,7.504088,0,0,1.909296,220,0.393029,"1-day click, 1-day view, or 1-day engaged-view",8,actions:offsite_conversion.fb_pixel_purchase,18.32498204,,,1033,,,,,,00:00:00,,,,1.126126,156,,15,,6,,18,1.821898,0,5.287674,,0.141917,,220,0,1.126126,,,,0,,,,,530,,530,,,,884.63,,884.63,,,,,10,,,,,,,,0.939743,,2023-10-04,2024-07-07,,8,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 1-day click"
2022-05-01,2025-06-01,"iD Comedy Club","00:00:00 - 00:59:59",not_delivering,29.833108,,,,,,"Using campaign budget",0,20189,1.477691,0,0,0.044579,7,3.31479,"7-day click or 1-day view",,,,,,430,,,,,,00:00:00,,,,0.034672,,,,,,,,,0,2.129873,,0.069379,,7,0,0.034672,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2022-06-02,2023-02-15,,,,
2022-05-01,2025-06-01,"Rory: Sydney Conversions","00:00:00 - 00:59:59",archived,1.65,,,,,,10,Daily,126,13.095238,0,0,0.793651,,1.65,Incremental,,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-25,2025-05-14,,,,
2022-05-01,2025-06-01,"MICF: Sydney Showcase 070424","00:00:00 - 00:59:59",not_delivering,0.09999,,,,,,100,Lifetime,20,4.9995,0,0,0,,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,3,,,,,,00:00:00,,,,,,,,,,,,,0,15,,0.03333,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06,2024-04-07,,,,
2022-05-01,2025-06-01,"Post: ""This weekend at Kinselas""","00:00:00 - 00:59:59",not_delivering,0.69,,,,,,"Using campaign budget",0,57,12.105263,0,0,7.017544,1,0.1725,"7-day click or 1-day view",3,actions:post_engagement,0.23,,,,,,,,,00:00:00,,,,1.754386,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-03,2022-06-03,,3,actions:post_engagement,"1-day click"
2022-05-01,2025-06-01,"Rory: Sunshine Coast Conversions","00:00:00 - 00:59:59",inactive,1.42,,,,,,500,Lifetime,161,8.819876,0,0,1.863354,2,0.473333,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,00:00:00,,,,1.242236,2,,1,,,,1,,0,,,,,2,0,1.242236,,,,0,,,,,35,,35,,,,35,,35,,,,,3,,,,,,,,0.71,,2025-05-05,2025-05-22,,,,
