"Reporting starts","Reporting ends","Campaign name","Audience segments","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-31,,0,0,41541.47,,,,,,0,0,5397528,7.696388,1384227,3.899308,1.940425,,0.396634,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,1471459,,,,,,3.973915,,,,,0.628597,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Multiple
2025-05-31,2025-05-31,"RORY: Canberra Sales Campaign",prospecting,active,69.092672,1,69.092672,1.040631,71.9,71.9,750,Lifetime,4283,16.13184,3441,1.244696,0,93,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,69.0926719,,,1284,,,,,,00:00:00,,,,2.171375,77,6,6,,,6,6,1.040631,0,29.978987,,0.05381,,,0,,,,,0,,,,,387.2,,387.2,,,11.515445,387.2,,387.2,,11.515445,101,,101,,,,,,,0.684086,0.897307,,2025-05-27,2025-05-28,Sales
2025-05-31,2025-05-31,"RORY: Canberra Sales Campaign",existing,active,6.637328,,,,,,750,Lifetime,211,31.456531,73,2.890411,0,10,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,41,,,,,,00:00:00,,,,4.739336,9,,,,,,,,0,19.43128,,0.161886,,,0,,,,,0,,,,,,,,,,,,,,,,9,,9,,,,,,,0.737481,0.737481,,2025-05-27,2025-05-28,Sales
2025-05-31,2025-05-31,"RORY LOWE TOUR - Traffic",unknown,active,9.38,,,,,,"Using ad set budget",0,1714,5.472579,1523,1.12541,0,182,0,"7-day click or 1-day view",143,actions:landing_page_view,0.06559441,,,622,,,,,,00:00:00,,,,10.618436,143,,,,,,,,0,36.289382,,0.01508,,,0,,,,,0,,,,,,,,,,,,,,,,101,,101,,,,,,,0.092871,0.065594,,2025-04-25,2025-05-25,Traffic
2025-05-31,2025-05-31,"Traffic - All Shows 14 Feb 25",unknown,active,24.25,,,,,,"Using ad set budget",0,2198,11.032757,2102,1.045671,0,75,0,"7-day click or 1-day view",8,actions:landing_page_view,3.03125,,,537,,,,,,00:00:00,,,,3.412193,8,,,,,,,,0,24.431301,,0.045158,,,0,,,,,0,,,,,,,,,,,,,,,,4,,4,,,,,,,6.0625,3.03125,,2025-02-14,2025-05-07,Traffic
2025-05-30,2025-05-30,"RORY: Brisbane Sales Campaign",prospecting,recently_completed,62.06,3,20.686667,3.383822,210,210,500,Lifetime,3492,17.77205,2641,1.322226,0,84,0,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,20.68666667,,,1329,,,,,,00:00:00,,,,2.405498,44,,,,,,,3.383822,0,38.058419,,0.046697,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.410455,,2025-05-27,2025-05-27,Sales
2025-05-30,2025-05-30,"RORY: Brisbane Sales Campaign",existing,recently_completed,8.26,1,8.26,4.237288,35,35,500,Lifetime,308,26.818182,117,2.632479,0,16,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,8.26,,,75,,,,,,00:00:00,,,,5.194805,8,,,,,,,4.237288,0,24.350649,,0.110133,,,0,,,,,0,,,,,,,,,,,,,,,,1,,1,,,,,,,8.26,1.0325,,2025-05-27,2025-05-27,Sales
2025-05-30,2025-05-30,"RORY: Canberra Sales Campaign",prospecting,active,60.98,1,60.98,1.179075,71.9,71.9,750,Lifetime,3681,16.566151,3019,1.219278,0,74,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,60.98,,,1127,,,,,,00:00:00,,,,2.010323,59,5,5,,,5,5,1.179075,0,30.61668,,0.054108,,,0,,,,,0,,,,,352,,352,,,12.196,352,,352,,12.196,86,,86,,,,,,,0.70907,1.033559,,2025-05-27,2025-05-28,Sales
2025-05-30,2025-05-30,"RORY: Canberra Sales Campaign",existing,active,3.79,,,,,,750,Lifetime,166,22.831325,59,2.813559,0,4,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,41,,,,,,00:00:00,,,,2.409639,4,,,,,,,,0,24.698795,,0.092439,,,0,,,,,0,,,,,,,,,,,,,,,,5,,5,,,,,,,0.758,0.9475,,2025-05-27,2025-05-28,Sales
2025-05-30,2025-05-30,"RORY LOWE TOUR - Traffic",unknown,active,12.93,,,,,,"Using ad set budget",0,2013,6.423249,1811,1.111541,0,167,0,"7-day click or 1-day view",136,actions:landing_page_view,0.09507353,,,619,,,,,,00:00:00,,,,8.296076,136,,,,,,,,0,30.750124,,0.020889,,,0,,,,,0,,,,,,,,,,,,,,,,86,,86,,,,,,,0.150349,0.095074,,2025-04-25,2025-05-25,Traffic
