"Reporting starts","Reporting ends","Campaign name","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-31,,0,41543.2,,,,,,0,0,5397670,7.696506,1384223,3.899422,1.94056,,0.396613,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,1471605,,,,,,3.973926,,,,,0.628623,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Multiple
2022-05-01,2025-05-31,"Oct23 LPviews 1%Lookalike - All Shows",inactive,4723.83,23,205.383913,0.223171,1054.22,1054.22,"Using ad set budget",0,900602,5.245192,487631,1.846892,3.006211,24548,0.174478,"7-day click or 1-day view",18968,actions:landing_page_view,0.24904207,,49713,67376,80544,61607,52055,48436,47523,4,109170,,16648,2.725732,18968,29,29,10,10,21,21,0.223171,157878,7.481218,0.095022,0.070111,16565,24538,3.414057,2.724622,3.397036,0.285169,0.283748,0.261375,,,,,1006,,1006,,472.383,162.89069,668.7,,668.7,,224.944286,43,,43,,,300,,300,,109.856512,0.249042,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-31,"Retargetting - All Shows",inactive,2152.8,,,,,,7,Daily,155546,13.840279,56598,2.74826,1.161071,837,1.192027,"Multiple attribution settings",,,,,6783,14344,31949,14356,9110,7067,6815,2,88807,,707,0.538104,413,,,,,,,,0,9.221709,0.317382,0.150084,711,836,1.249161,0.537462,1.256228,3.027848,3.044979,1.648392,,,,,,,,,,,,,,,,,,,,,,,,,,5.212591,,2022-05-18,2025-02-16,CONVERSIONS
2022-05-01,2025-05-31,"Retargetting - All Shows OCT23",inactive,12015.97,1070,11.229879,4.374311,52561.59,52561.59,"Using ad set budget",0,1194588,10.058673,237344,5.03315,1.184174,8149,0.849425,"1-day click, 1-day view, or 1-day engaged-view",1070,actions:offsite_conversion.fb_pixel_purchase,11.2298785,,17286,39298,71517,33107,22222,18086,17365,2,208098,,6844,0.68216,5456,1023,1023,231,231,1087,1087,4.374311,229404,3.28967,0.695127,0.305765,6945,8127,2.883578,0.680318,2.926133,1.730161,1.755694,1.210433,,,,,40279.14,,40279.14,,52.017186,11.745816,63372.23,,63372.23,,11.05425,826,,826,,,1900,,1900,,14.547179,2.202341,,2023-10-04,2025-02-14,Sales
2022-05-01,2025-05-31,"Post: ""We have some incredible suprises for you this...""",inactive,9.93,,,,,,10,Lifetime,672,14.776786,654,1.027523,0.595238,,2.4825,"7-day click or 1-day view",25,actions:post_engagement,0.3972,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,2.4825,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-17,2025-02-16,Engagement
2022-05-01,2025-05-31,"ToneDen Campaign 672820 - Eventbrite - Magic Mic 260624",inactive,50.04,,,,,,"Using ad set budget",0,5205,9.613833,4355,1.195178,2.747358,61,0.34993,"7-day click or 1-day view",61,actions:link_click,0.82032787,,,,,,,,,00:00:00,,,57,1.17195,38,,,,,,,,0,,,,57,61,1.30884,1.17195,1.30884,0.877895,0.877895,0.438947,,,,,,,,,,,,,,,,,,,,,,,,,,1.316842,,2024-06-24,2025-02-16,Traffic
2022-05-01,2025-05-31,"Post: ""12 tickets left for this Wednesday's incredible...""",inactive,10,,,,,,10,Lifetime,749,13.351135,704,1.06392,4.539386,1,0.294118,"7-day click or 1-day view",42,actions:post_engagement,0.23809524,,,,,,,,,00:00:00,,,1,0.133511,,,,,,,,,0,,,,1,1,0.142045,0.133511,0.142045,10,10,0.294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-25,2025-02-16,Engagement
2022-05-01,2025-05-31,"Encore Festival: Retargeting - July 24",inactive,1500,120,12.5,3.828007,5742.01,5742.01,1500,Lifetime,125616,11.941154,19215,6.537393,3.783754,2387,0.31559,"7-day click or 1-day view",120,actions:offsite_conversion.fb_pixel_purchase,12.5,,11569,24882,14164,10751,9003,7697,6862,9,66746,,1354,1.900236,1876,151,151,40,40,83,83,3.828007,0,19.807986,0.129657,0.060285,1333,2386,7.046578,1.89944,6.937289,1.125281,1.107829,0.642949,,,,,5831.28,,5831.28,,37.5,9.933775,2788.67,,2788.67,,18.072289,43,,43,,,50,,50,,34.883721,0.799574,,2024-07-03,2025-02-16,Sales
2022-05-01,2025-05-31,"Post: ""12 tickets left for this Wednesday's incredible..."" – REACH",inactive,10,,,,,,10,Lifetime,4073,2.455193,4073,1,0.049104,,5,"7-day click or 1-day view",4073,reach,2.45519273,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-25,2025-02-16,Reach
2022-05-01,2025-05-31,"Retargetting - WEEKLY SHOWS",inactive,0,,,,,,25,Daily,0,0,0,0,0,,0,-,,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-14,2025-02-16,Sales
