"Reporting starts","Reporting ends","Campaign name",Platform,"Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-31,,,0,41542.3,,,,,,0,0,5397585,7.696461,1384222,3.899364,1.94046,,0.396631,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,1471521,,,,,,3.973929,,,,,0.62861,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Multiple
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows","Audience Network",inactive,2.9,,,,,,"Using ad set budget",0,591,4.906937,384,1.539063,2.199662,13,0.223077,"7-day click or 1-day view",,,,,100,126,116,112,101,93,94,10,145,,13,2.199662,,,,,,,,,10,21.319797,0.029,0.023016,13,13,3.385417,2.199662,3.385417,0.223077,0.223077,0.223077,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Retargetting - All Shows","Audience Network",inactive,0.110003,,,,,,7,Daily,11,10.000279,0,0,0,,0,"Multiple attribution settings",,,,,4,4,4,4,4,4,4,4,5,,,,,,,,,,,,0,36.363636,0.027501,0.027501,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-18,2025-02-16,CONVERSIONS
2022-05-01,2025-05-30,"Retargetting - All Shows OCT23","Audience Network",inactive,1.89935,,,,,,"Using ad set budget",0,536,3.543564,256,2.09375,1.492537,9,0.237419,"1-day click, 1-day view, or 1-day engaged-view",,,,,54,69,64,60,59,53,54,8,83,,9,1.679104,,,,,,,,,0,12.873134,0.035173,0.027527,7,9,3.515625,1.679104,2.734375,0.271336,0.211039,0.237419,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-04,2025-02-14,Sales
2022-05-01,2025-05-30,"Reach - All Shows","Audience Network",inactive,0.300023,,,,,,5,Daily,210,1.428679,64,3.28125,0,,0,"7-day click or 1-day view",64,reach,4.6878529,,77,200,204,200,197,107,148,5,216,,,,,,,,,,,,0,95.238095,0.003896,0.0015,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Retargeting - July 24","Audience Network",inactive,0.089978,,,,,,400,Lifetime,18,4.99875,12,1.5,5.555556,1,0.089978,"7-day click or 1-day view",,,,,1,4,1,1,,,,12,4,,1,5.555556,,,,,,,,,0,22.222222,0.089978,0.022494,1,1,8.333333,5.555556,8.333333,0.089978,0.089978,0.089978,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-21,2025-02-16,Sales
2022-05-01,2025-05-30,"Reach - All Shows – Weekly Blitz","Audience Network",inactive,0.099999,,,,,,850,Lifetime,58,1.724118,32,1.8125,0,,0,"7-day click or 1-day view",32,reach,3.12496323,,25,56,56,56,56,30,39,5,59,,,,,,,,,,,,0,96.551724,0.004,0.001786,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-18,2025-02-16,Reach
2022-05-01,2025-05-30,"ToneDen Campaign 672820 - Eventbrite - Magic Mic 260624","Audience Network",inactive,0.419916,,,,,,"Using ad set budget",0,188,2.233596,107,1.757009,0.531915,1,0.419916,"7-day click or 1-day view",1,actions:link_click,0.41991608,,,,,,,,,00:00:00,,,1,0.531915,,,,,,,,,0,,,,1,1,0.934579,0.531915,0.934579,0.419916,0.419916,0.419916,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2025-02-16,Traffic
2022-05-01,2025-05-30,"Day Of Boost 1% LL Traffic","Audience Network",inactive,0.08,,,,,,"Using ad set budget",0,2,40,2,1,0,,0,"1-day click or 1-day view",,,,,,2,2,1,,,,8,2,,,,,,,,,,,,0,100,,0.04,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15,2023-05-29,Sales
2022-05-01,2025-05-30,"Encore Festival: Retargeting - July 24","Audience Network",inactive,0.47983,,,,,,1500,Lifetime,56,8.568401,8,7,0,,0,"7-day click or 1-day view",,,,,8,12,9,8,5,1,1,16,15,,,,,,,,,,,,0,21.428571,0.059979,0.039986,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-03,2025-02-16,Sales
