Reporting starts,Reporting ends,Campaign name,Campaign Delivery,Amount spent (AUD),Website purchases,Cost per purchase (AUD),Purchase ROAS (return on ad spend),Purchases conversion value,Website purchases conversion value,Ad set budget,Ad set budget type,Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,CTR (all),Link clicks,CPC (all) (AUD),Attribution setting,Results,Result indicator,Cost per results,Meta purchases,ThruPlays,3-second video plays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,profile_visit_view,Unique link clicks,CTR (link click-through rate),Landing page views,Adds to cart,Website adds to cart,Adds of payment info,Website adds of payment info,Checkouts Initiated,Website checkouts initiated,Website purchase ROAS (return on ad spend),Views,3-second video plays rate per impressions,Cost per ThruPlay (AUD),Cost per 3-second video play (AUD),Unique outbound clicks,Outbound clicks,Unique CTR (link click-through rate),Outbound CTR (click-through rate),Unique outbound CTR (click-through rate),Cost per unique outbound click (AUD),Cost per unique link click (AUD),Cost per unique click (all) (AUD),Adds of payment info conversion value,In-app adds of payment info conversion value,Website adds of payment info conversion value,Offline adds of payment info conversion value,Adds to cart conversion value,In-app adds to cart conversion value,Website adds to cart conversion value,Offline adds to cart conversion value,Cost per add of payment info (AUD),Cost per add to cart (AUD),Checkouts initiated conversion value,In-app checkouts initiated conversion value,Website checkouts initiated conversion value,Offline checkouts initiated conversion value,Cost per checkout initiated (AUD),Content views,In-app content views,Website content views,Offline content views,Meta content views,Content views conversion value,In-app content views conversion value,Website content views conversion value,Offline content views conversion value,Cost per content view (AUD),Cost per landing page view (AUD),Orders created,Date created,Date last edited,Objective
1/05/2022,31/05/2025,,0,41544,,,,,,0,0,5397746,7.696546,1385462,3.89599,1.940625,,0.396601,Multiple attribution settings,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,1471708,,,,,,3.970372,,,,,0.628645,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Multiple
25/05/2025,31/05/2025,RORY: Brisbane Sales Campaign,recently_completed,500,11,45.454545,1.4,700,700,500,Lifetime,34729,14.39719,19004,1.827457,3.357425,702,0.428816,"7-day click, 1-day view, or 1-day engaged-view",11,actions:offsite_conversion.fb_pixel_purchase,45.45454545,,6023,12806,6908,4824,3332,2688,2496,11,30407,,582,2.021365,331,,,,,,,1.4,39262,36.874082,0.083015,0.039044,587,703,3.062513,2.024245,3.088823,0.851789,0.859107,0.564334,,,,,,,,,,,,,,,,2,,2,,,,,,,250,1.510574,,27/05/2025,27/05/2025,Sales
25/05/2025,31/05/2025,Retargetting - Carousel Launch,inactive,0,,,,,,100,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/09/2023,16/02/2025,Sales
25/05/2025,31/05/2025,RORY: Canberra Sales Campaign,active,317.27,6,52.878333,1.415923,449.23,449.23,750,Lifetime,19978,15.880969,12074,1.65463,4.429873,453,0.358497,"7-day click, 1-day view, or 1-day engaged-view",6,actions:offsite_conversion.fb_pixel_purchase,52.87833333,,1681,6314,3734,1733,1071,756,639,7,16352,,376,2.267494,352,24,24,,,24,24,1.415923,21739,31.604765,0.188739,0.050249,373,453,3.11413,2.267494,3.089283,0.85059,0.843803,0.461148,,,,,1654.4,,1654.4,,,13.219583,1654.4,,1654.4,,13.219583,480,,480,,,,,,,0.660979,0.901335,,27/05/2025,28/05/2025,Sales
25/05/2025,31/05/2025,LPviews 1%Lookalike - Carousel,inactive,0,,,,,,50,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/09/2023,16/02/2025,Traffic
25/05/2025,31/05/2025,SUS: SCALE - 100% Broad,not_delivering,0,,,,,,20,Daily,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/05/2025,27/05/2025,Traffic
25/05/2025,31/05/2025,Retargetting - Carousel Launch Advantage+ shopping campaign Campaign,archived,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/09/2023,25/09/2023,Sales
25/05/2025,31/05/2025,New Traffic Campaign,not_delivering,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/05/2025,25/05/2025,Traffic
25/05/2025,31/05/2025,LPviews 1%Lookalike - All Shows May23,inactive,0,,,,,,10,Daily,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/05/2023,3/10/2023,Traffic
25/05/2025,31/05/2025,Rory Sydney Event Response Ads,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/05/2025,6/05/2025,Engagement
25/05/2025,31/05/2025,Jarred Fell Conversion 2%,inactive,0,,,,,,100,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/05/2023,16/02/2025,Sales
25/05/2025,31/05/2025,RORY LOWE TOUR - Traffic,active,164.53,,,,,,Using ad set budget,0,27354,6.014842,18533,1.475962,10.174015,2353,0.05912,7-day click or 1-day view,1949,actions:landing_page_view,0.08441765,,4321,9594,5079,3956,3160,2726,2517,10,23766,,2114,8.602033,1949,,,,,,,,27777,35.073481,0.038077,0.017149,2096,2353,11.40668,8.602033,11.309556,0.078497,0.077829,0.069834,,,,,,,,,,,,,,,,1327,,1327,,,,,,,0.123986,0.084418,,25/04/2025,25/05/2025,Traffic
25/05/2025,31/05/2025,Day Of Boost 1% LL Traffic,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/05/2023,29/05/2023,Sales
